TrialNumber,NumberOfRows,NumberOfColumns,NumberOfPlots,FieldSize,NAProportion,NAMaximumClusterSize,NAMeanClusterSize,NANumberClusters,NAProportionMaximumClusterSize,NAProportionMeanClusterSize,NAProportionNumberClusters,Simulated_GRFTypePatch0,Simulated_GRFsigmaPatch0,Simulated_GRFrhorPatch0,Simulated_GRFrhocPatch0,Simulated_GRFphiPatch0,Simulated_GRFTypePatch1,Simulated_GRFsigmaPatch1,Simulated_GRFrhorPatch1,Simulated_GRFrhocPatch1,Simulated_GRFphiPatch1,Simulated_BFSimulatedPatches,Estimated_TimeTree,Estimated_NumberOfPatchesIdentified,Similarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesIdentified,OracleSimilarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesIdentified,Estimated_TimeIdentification,Estimated_NumberOfPatchesLocalAuthenticated,Similarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesLocalAuthenticated,OracleSimilarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesLocalAuthenticated,Estimated_TimeLocalAuthentication,Estimated_NumberOfPatchesLocalVerified,Similarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesLocalVerified,OracleSimilarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesLocalVerified,Estimated_TimeLocalVerification,Estimated_IterationsLocal,Estimated_NumberOfPatchesGlobalAuthenticated,Similarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesGlobalAuthenticated,OracleSimilarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesGlobalAuthenticated,Estimated_TimeGlobalAuthentication,Estimated_NumberOfPatchesGlobalVerified,Similarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesGlobalVerified,OracleSimilarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesGlobalVerified,Estimated_TimeGlobalVerification,Estimated_IterationsGlobal,Estimated_NumberOfPatchesFinalAuthenticatedAnecdotal,Similarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesFinalAuthenticatedAnecdotal,OracleSimilarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesFinalAuthenticatedAnecdotal,Estimated_TimeFinalAuthenticationAnecdotal,Estimated_NumberOfPatchesFinalVerifiedAnecdotal,Similarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesFinalVerifiedAnecdotal,OracleSimilarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesFinalVerifiedAnecdotal,Estimated_TimeFinalVerificationAnecdotal,Estimated_IterationsFinalAnecdotal,Estimated_NumberOfPatchesFinalAuthenticatedModerate,Similarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesFinalAuthenticatedModerate,OracleSimilarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesFinalAuthenticatedModerate,Estimated_TimeFinalAuthenticationModerate,Estimated_NumberOfPatchesFinalVerifiedModerate,Similarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesFinalVerifiedModerate,OracleSimilarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesFinalVerifiedModerate,Estimated_TimeFinalVerificationModerate,Estimated_IterationsFinalModerate,Estimated_NumberOfPatchesFinalAuthenticatedStrong,Similarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesFinalAuthenticatedStrong,OracleSimilarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesFinalAuthenticatedStrong,Estimated_TimeFinalAuthenticationStrong,Estimated_NumberOfPatchesFinalVerifiedStrong,Similarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesFinalVerifiedStrong,OracleSimilarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesFinalVerifiedStrong,Estimated_TimeFinalVerificationStrong,Estimated_IterationsFinalStrong,Estimated_NumberOfPatchesFinalAuthenticatedVerystrong,Similarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesFinalAuthenticatedVerystrong,OracleSimilarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesFinalAuthenticatedVerystrong,Estimated_TimeFinalAuthenticationVerystrong,Estimated_NumberOfPatchesFinalVerifiedVerystrong,Similarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesFinalVerifiedVerystrong,OracleSimilarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesFinalVerifiedVerystrong,Estimated_TimeFinalVerificationVerystrong,Estimated_IterationsFinalVerystrong,Estimated_NumberOfPatchesFinalAuthenticatedDecisive,Similarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesFinalAuthenticatedDecisive,OracleSimilarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesFinalAuthenticatedDecisive,Estimated_TimeFinalAuthenticationDecisive,Estimated_NumberOfPatchesFinalVerifiedDecisive,Similarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesFinalVerifiedDecisive,OracleSimilarity_SimulatedTwoPatchesVerified_vs_EstimatedPatchesFinalVerifiedDecisive,Estimated_TimeFinalVerificationDecisive,Estimated_IterationsFinalDecisive
Trial61,8,16,128,128,0.03125,1.0,1.0,4,0.0078125,0.0078125,0.03125,AR1rc,9.247361046224016,0.6390952266933083,0.8127604609162888,0.0,AR1c,12.14313078080241,0.0,0.9755314731129812,0.0,92.4562142527933,810.2614823188633,7,0.421875,0.953125,0.6279049161821604,6,0.515625,0.96875,2797.1044519729912,6,0.53125,0.984375,0.02090388350188732,2,5,0.5234375,0.8828125,2225.8013690784574,5,0.5234375,0.8828125,0.01955818198621273,2,2,0.578125,0.578125,740.0172579027712,2,0.578125,0.578125,0.011114280670881271,2,2,0.578125,0.578125,736.2605531699955,2,0.578125,0.578125,0.014111097902059555,2,2,0.578125,0.578125,733.4607111290097,2,0.578125,0.578125,0.013750165700912476,2,2,0.578125,0.578125,737.945106510073,2,0.578125,0.578125,0.012672405689954758,2,2,0.578125,0.578125,759.0951944701374,2,0.578125,0.578125,0.013777751475572586,2
Trial18,6,8,48,48,0.0416666666666666,1.0,1.0,2,0.0208333333333333,0.0208333333333333,0.0416666666666666,AR1c,13.0684031708542,0.0,0.8782875293093234,0.0,AR1rcp,16.19150053264333,0.9970375036375286,0.9673514620081856,1.030022608471247,42.97787352691304,79.28269758075476,3,0.5625,0.9166666666666666,0.036487627774477005,3,0.5625,0.9166666666666666,31.039517970755682,3,0.5625,0.9166666666666666,0.015081826597466375,1,3,0.5625,0.9166666666666666,71.10435902699825,3,0.5625,0.9166666666666666,0.015382088720798492,1,2,1.0,1.0,150.98258462548256,2,1.0,1.0,0.02324623242020607,2,2,1.0,1.0,104.81971033290029,2,1.0,1.0,0.013741381466388702,2,2,1.0,1.0,115.39035548269749,2,1.0,1.0,0.014965657144799138,2,2,1.0,1.0,106.72163364291193,2,1.0,1.0,0.012520406395196915,2,2,1.0,1.0,99.98479659482835,2,1.0,1.0,0.009676426649107839,2
Trial80,5,16,80,80,0.0,,,0,,,0.0,IID,5.908484345292171,0.0,0.0,0.0,AR1cp,18.95045871394512,0.0,0.7976846131440292,0.0030152607244862,21.602522462535504,383.9597841072828,6,0.4499999999999999,1.0,0.2250893488525776,6,0.4499999999999999,1.0,273.79148074798286,6,0.4499999999999999,1.0,0.5600276309996843,1,4,0.6875,1.0,1939.1135770250112,4,0.6875,1.0,33.93301387503743,2,2,1.0,1.0,242.3929156884551,2,1.0,1.0,1.6140564754605293,1,2,1.0,1.0,267.14104468375444,2,1.0,1.0,1.7603830955922604,1,2,1.0,1.0,258.31434266269207,2,1.0,1.0,1.7374529391527176,1,2,1.0,1.0,261.9918213561177,2,1.0,1.0,1.6304858475923538,1,2,1.0,1.0,278.0988998487592,2,1.0,1.0,1.868477787822485,1
Trial97,15,4,60,60,0.2333333333333333,7.0,2.0,14,0.1166666666666666,0.0333333333333333,0.2333333333333333,AR1rp,7.349539146491486,0.9916693545431589,0.0,0.0013126639517253,IID,4.93317160765262,0.0,0.0,0.0,45.95911698255499,198.7181077506393,5,0.55,0.9333333333333332,0.058216273784722716,2,1.0,1.0,114.75886714644724,3,0.7,0.9333333333333332,0.009077543392777443,2,2,0.7333333333333334,0.7333333333333334,57.659284396097064,2,0.7333333333333334,0.7333333333333334,0.07388769276440144,1,2,0.7333333333333334,0.7333333333333334,74.55103842914104,2,0.7333333333333334,0.7333333333333334,0.025308776646852493,1,2,0.7333333333333334,0.7333333333333334,54.11888226121664,2,0.7333333333333334,0.7333333333333334,0.018548227846622467,1,2,0.7333333333333334,0.7333333333333334,57.93063873052597,2,0.7333333333333334,0.7333333333333334,0.01971321925520897,1,2,0.7333333333333334,0.7333333333333334,54.680001333355904,2,0.7333333333333334,0.7333333333333334,0.02252177521586418,1,2,0.7333333333333334,0.7333333333333334,50.51869650185108,2,0.7333333333333334,0.7333333333333334,0.017241638153791428,1
Trial78,3,16,48,48,0.0416666666666666,1.0,1.0,2,0.0208333333333333,0.0208333333333333,0.0416666666666666,IID,10.72421409495345,0.0,0.0,0.0,AR1r,14.77251135354364,0.8062348739192513,0.0,0.0,11.259447469407654,97.34428839199244,2,0.9791666666666666,0.9791666666666666,0.07891158387066355,2,0.9791666666666666,0.9791666666666666,19.380370911210775,2,0.9791666666666666,0.9791666666666666,0.014711929485201836,1,2,0.9791666666666666,0.9791666666666666,44.8317287042737,2,0.9791666666666666,0.9791666666666666,0.012239377945661545,1,2,0.9791666666666666,0.9791666666666666,58.44804294407368,2,0.9791666666666666,0.9791666666666666,0.045595973730080175,1,2,0.9791666666666666,0.9791666666666666,43.218297604471445,2,0.9791666666666666,0.9791666666666666,0.021261509507894516,1,2,0.9791666666666666,0.9791666666666666,44.436906572431326,2,0.9791666666666666,0.9791666666666666,0.034287638962275935,1,2,0.9791666666666666,0.9791666666666666,45.40219854936004,2,0.9791666666666666,0.9791666666666666,0.02037760615348816,1,2,0.9791666666666666,0.9791666666666666,40.26623689755797,2,0.9791666666666666,0.9791666666666666,0.017297245562083674,1
Trial46,21,8,168,168,0.0357142857142857,2.0,1.2,6,0.0119047619047619,0.0071428571428571,0.0357142857142857,AR1rc,12.2556849300577,0.7824737146134891,0.6021140443683509,0.0,AR1rc,7.388919729732704,0.3478941806613835,0.744982168172883,0.0,25.99845971597508,1475.3780740089717,8,0.3809523809523809,0.9226190476190476,0.70410396344937,5,0.5535714285714286,0.8809523809523809,21142.795074274763,7,0.5416666666666667,0.8928571428571429,133.48632948845625,4,4,0.5416666666666667,0.7261904761904762,3742.875399325043,4,0.5416666666666667,0.7261904761904762,0.01860743947690935,2,2,0.8809523809523809,0.8809523809523809,1225.6590127013624,2,0.8809523809523809,0.8809523809523809,21.623537331819534,1,2,0.8809523809523809,0.8809523809523809,1384.5211135968566,2,0.8809523809523809,0.8809523809523809,23.630170226097107,1,2,0.8809523809523809,0.8809523809523809,1192.9457891359923,2,0.8809523809523809,0.8809523809523809,20.95369654521369,1,2,0.8809523809523809,0.8809523809523809,1300.7954735532403,2,0.8809523809523809,0.8809523809523809,23.106959026306868,1,2,0.8809523809523809,0.8809523809523809,1157.846543006599,2,0.8809523809523809,0.8809523809523809,19.69989323988534,1
Trial82,7,16,112,112,0.0,,,0,,,0.0,AR1cp,6.118710639535394,0.0,0.5561511519976837,0.7970542438941575,AR1rp,5.670828158146014,0.9815991785029644,0.0,1.02167742200039,8.072920071643296,1163.8688697796315,7,0.2946428571428571,0.875,0.344749037176598,7,0.2946428571428571,0.875,1797.8971317298708,7,0.2946428571428571,0.875,0.02129483036696911,1,3,0.4553571428571429,0.6517857142857143,9412.659655163065,3,0.4553571428571429,0.6517857142857143,0.016433723269074108,3,2,0.6339285714285714,0.6339285714285714,1908.6275963522487,2,0.6339285714285714,0.6339285714285714,0.022570338100877052,2,2,0.6339285714285714,0.6339285714285714,2116.8124777823687,2,0.6339285714285714,0.6339285714285714,0.015882425010204315,2,2,0.6339285714285714,0.6339285714285714,1889.551968537271,2,0.6339285714285714,0.6339285714285714,0.017100811004866046,2,2,0.6339285714285714,0.6339285714285714,2000.651775509119,2,0.6339285714285714,0.6339285714285714,0.022229976952075958,2,2,0.6339285714285714,0.6339285714285714,1728.5475962236524,2,0.6339285714285714,0.6339285714285714,0.012355867773294449,2
Trial0,15,4,60,60,0.2,2.0,1.5,12,0.0333333333333333,0.025,0.2,AR1c,11.26144087654332,0.0,0.560331907279675,0.0,AR1r,15.94486989558949,0.7499999999999988,0.0,0.0,35.570980247938024,185.53936877287924,4,0.6166666666666667,0.9166666666666666,0.08923780731856823,4,0.6166666666666667,0.9166666666666666,84.10091320052743,4,0.6166666666666667,0.8833333333333333,0.014559509232640266,1,2,0.7,0.7,228.64677614159882,2,0.7,0.7,3.0437793266028166,2,2,0.7,0.7,92.03586542978884,2,0.7,0.7,0.07174007222056389,1,2,0.7,0.7,64.61721929907799,2,0.7,0.7,0.020929794758558273,1,2,0.7,0.7,66.6506521999836,2,0.7,0.7,0.04002302885055542,1,2,0.7,0.7,62.59650990739465,2,0.7,0.7,0.020622979849584056,1,2,0.7,0.7,80.43474684283137,2,0.7,0.7,0.023523908108472824,1
Trial62,18,4,72,72,0.1805555555555555,3.0,1.4444444444444444,13,0.0416666666666666,0.0200617283950617,0.1805555555555555,AR1rcp,8.595775620735461,0.8277712724613552,0.999999,1.457767849493314,AR1r,7.505927238647177,0.8688104582157938,0.0,0.0,31.895722793842936,216.70710475556552,3,0.8055555555555556,0.9583333333333334,0.05489660985767841,3,0.8055555555555556,0.9583333333333334,45.75782932527363,3,0.8055555555555556,0.9583333333333334,0.01432124711573124,1,2,0.8194444444444444,0.8194444444444444,141.14288569800556,2,0.8194444444444444,0.8194444444444444,0.011953281238675117,2,2,0.9722222222222222,0.9722222222222222,94.21689898893236,2,0.9722222222222222,0.9722222222222222,1.1697057560086392,1,2,0.9722222222222222,0.9722222222222222,71.28009412437677,2,0.9722222222222222,0.9722222222222222,0.9049818739295006,1,2,0.9722222222222222,0.9722222222222222,72.41032660752535,2,0.9722222222222222,0.9722222222222222,0.937840674072504,1,2,0.9722222222222222,0.9722222222222222,71.77128423377872,2,0.9722222222222222,0.9722222222222222,0.9439287818968296,1,2,0.9722222222222222,0.9722222222222222,62.85950351133943,2,0.9722222222222222,0.9722222222222222,0.8061687536537576,1
Trial50,9,12,108,108,0.037037037037037,1.0,1.0,4,0.0092592592592592,0.0092592592592592,0.037037037037037,AR1rc,15.88680934673195,0.6032098300193284,0.9269091800279078,0.0,AR1cp,9.504112167510716,0.0,0.999999,2.068143104548156,77.739939237267,505.1815424785018,5,0.537037037037037,0.9166666666666666,1.516622805967927,5,0.537037037037037,0.9166666666666666,378.63971456326544,5,0.537037037037037,0.9166666666666666,0.021007029339671135,1,3,0.5555555555555556,0.8888888888888888,2560.2569943517447,3,0.5555555555555556,0.8888888888888888,0.014500811696052551,3,2,0.8518518518518519,0.8518518518518519,451.3470893278718,2,0.8518518518518519,0.8518518518518519,0.017220713198184967,2,2,0.8518518518518519,0.8518518518518519,269.239272903651,2,0.8518518518518519,0.8518518518518519,0.014043029397726059,2,2,0.8518518518518519,0.8518518518518519,294.84852657467127,2,0.8518518518518519,0.8518518518518519,0.016063105314970016,2,2,0.8518518518518519,0.8518518518518519,294.5591075979173,2,0.8518518518518519,0.8518518518518519,0.014690704643726349,2,2,0.8518518518518519,0.8518518518518519,281.1269419044256,2,0.8518518518518519,0.8518518518518519,0.014556512236595154,2
