TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial2,2,2,1.0,1.0,24.6708738787943,2.4182228902606053,2.2512762136919453,1.0,0.0,1.0,3.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial2,2,3,1.0,1.0,3.8374490906317615,-1.4075105342441978,-0.0026004462185183,1.0,0.0,1.0,3.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial2,2,4,1.0,1.0,16.271448105366225,-0.2584033585705985,1.3425792567645085,1.0,0.0,1.0,4.0,,,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial2,3,1,1.0,1.0,-8.657413707473893,-2.0248439018035778,-1.3543647344134837,1.0,0.0,1.0,3.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial2,3,2,1.0,1.0,16.621254825079987,0.476640670113469,1.3804233082855364,1.0,0.0,1.0,3.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial2,3,3,1.0,1.0,8.980887255363498,0.3148678792129674,0.553845522173989,1.0,0.0,1.0,3.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial2,3,4,1.0,1.0,22.37934269112104,1.1914868288639962,2.003365526329189,1.0,0.0,1.0,4.0,,,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial2,4,1,1.0,1.0,-5.197520875514638,-0.7543975956539904,-0.9800541359863172,1.0,0.0,1.0,3.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial2,4,2,1.0,1.0,7.883183744071588,-1.3704046193439945,0.4350898039586928,1.0,0.0,1.0,3.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial2,4,3,1.0,1.0,7.12563254742683,0.3804020197713357,0.3531336696137042,1.0,0.0,1.0,3.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial2,4,4,1.0,1.0,19.01901662297722,0.8212581844136888,1.6398266184593009,1.0,0.0,1.0,4.0,,,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial2,5,1,1.0,1.0,6.956571721519862,1.475146158423228,0.334843721921887,0.0,0.0,1.0,3.0,6.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial2,5,2,1.0,1.0,16.753708017994306,1.006910640866511,1.394752837063245,1.0,0.0,1.0,3.0,6.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial2,5,3,1.0,1.0,5.57451260491095,0.1066418352966972,0.1853248205787327,1.0,0.0,1.0,3.0,6.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial2,5,4,1.0,1.0,11.67401543336246,-0.5564914488612357,0.8452032228045636,1.0,0.0,1.0,4.0,,,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial2,6,1,1.0,1.0,-0.3242932940876992,-0.1647991855782225,-0.4528410629609471,0.0,0.0,1.0,3.0,6.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial2,6,2,1.0,1.0,10.223890578861134,0.6958368050690573,0.6883205884441445,1.0,0.0,1.0,3.0,6.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial2,6,3,1.0,1.0,0.8720947012815334,0.2849058113765571,-0.3234091041554066,1.0,0.0,1.0,3.0,6.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial2,6,4,1.0,1.0,4.454050472602669,-1.4201882923603395,0.0641069471852973,1.0,0.0,1.0,4.0,,,4.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
