TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_TreeDepth5,Estimated_TreeDepth6,Estimated_TreeDepth7,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial23,1,1,0,0,-6.218934878805667,0.7880271788372085,-0.7635543738435459,0,0,1,3.0,5.0,,,,,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0
Trial23,1,2,0,0,16.28468969279643,0.9833234719582286,0.907033270950145,0,0,1,3.0,5.0,,,,,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0
Trial23,1,3,0,0,-23.1775811163414,-1.860126556573416,-2.0225028950789072,0,0,1,3.0,5.0,,,,,3,27,3,2,2,0,0,0,0,0,0,0,0,0,0
Trial23,1,4,0,0,6.021214119509727,0.2906151745593531,0.1451099891774996,0,0,1,3.0,5.0,,,,,3,9,5,5,5,0,0,0,0,0,0,0,0,0,0
Trial23,1,5,0,0,-2.096813488670053,-1.202915212502849,-0.4575430003072831,0,0,1,3.0,5.0,,,,,3,9,5,5,5,0,0,0,0,0,0,0,0,0,0
Trial23,1,6,0,0,10.546972561388058,0.2665134703005961,0.4810859166227031,0,0,1,3.0,5.0,,,,,3,9,5,5,5,0,0,0,0,0,0,0,0,0,0
Trial23,1,7,0,0,12.836991416218842,0.3748815883091739,0.6510886285437253,0,0,1,3.0,5.0,,,,,3,9,5,5,5,0,0,0,0,0,0,0,0,0,0
Trial23,1,8,0,0,10.03309589820682,-0.4714603797820101,0.4429375729313621,0,0,1,3.0,5.0,,,,,3,9,5,5,5,0,0,0,0,0,0,0,0,0,0
Trial23,1,9,0,0,-11.110546230959534,-1.7159153806523946,-1.12668989728065,0,0,1,3.0,5.0,,,,,3,3,5,5,5,0,0,0,0,0,0,0,0,0,0
Trial23,1,10,0,0,-10.406028929013686,-1.531314080287466,-1.0743890825194873,0,0,1,3.0,5.0,,,,,3,3,5,5,5,0,0,0,0,0,0,0,0,0,0
Trial23,1,11,0,0,4.870886242548419,-0.2814829685151407,0.0597138107708268,0,0,1,3.0,6.0,7.0,,,,3,3,5,5,5,0,0,0,0,0,0,0,0,0,0
Trial23,1,12,0,0,14.524891878478767,1.0579776139361248,0.776392250141259,0,0,1,3.0,6.0,7.0,,,,3,9,5,5,5,0,0,0,0,0,0,0,0,0,0
Trial23,1,13,0,0,5.881534992841111,-0.6150597089272651,0.1347407163296657,0,0,1,3.0,6.0,7.0,,,,3,9,5,5,5,0,0,0,0,0,0,0,0,0,0
Trial23,1,14,0,0,26.06873891415041,2.193823948679227,1.6333656754585997,0,0,1,3.0,6.0,7.0,,,,3,9,5,5,5,0,0,0,0,0,0,0,0,0,0
Trial23,1,15,0,0,9.969461684366184,0.065835333163778,0.4382135991959276,0,0,1,3.0,6.0,7.0,,,,3,9,5,5,5,0,0,0,0,0,0,0,0,0,0
Trial23,1,16,2,0,2.4689839683088057,-0.2094124260743885,-0.1185947212871667,1,0,1,3.0,6.0,7.0,,,,3,16,5,5,5,0,0,0,0,0,0,0,0,0,0
Trial23,1,17,2,0,10.335319944018908,-0.0280291243814096,0.4653735923062308,0,0,1,3.0,6.0,7.0,,,,3,9,5,5,5,0,0,0,0,0,0,0,0,0,0
Trial23,1,18,2,0,-10.011773189392253,-0.7056903790707899,-1.045120963270301,0,0,1,3.0,6.0,7.0,,,,3,16,0,4,4,0,0,0,0,0,0,0,0,0,0
Trial23,1,19,2,0,-17.504798779493907,-1.4399524503797,-1.6013760648926083,0,0,1,3.0,6.0,7.0,,,,3,16,0,4,4,0,0,0,0,0,0,0,0,0,0
Trial23,1,20,2,0,-3.432079491278901,-0.0711686670039958,-0.5566683158480673,0,0,1,3.0,6.0,7.0,,,,3,16,0,4,4,0,0,0,0,0,0,0,0,0,0
Trial23,1,21,2,0,12.01696106629905,0.2960797164829107,0.5902125431569913,0,0,1,3.0,6.0,8.0,,,,3,3,1,1,1,2,2,2,2,2,2,2,2,2,2
Trial23,1,22,2,0,-2.806280416730459,-0.6910811383874674,-0.5102112573978816,1,0,1,3.0,6.0,8.0,,,,3,3,1,1,1,2,2,2,2,2,2,2,2,2,2
Trial23,1,23,2,0,-4.119180129587916,-0.3061084866686135,-0.6076761805338928,1,0,1,3.0,6.0,8.0,,,,3,3,1,1,1,2,2,2,2,2,2,2,2,2,2
Trial23,1,24,2,0,-18.36394464492792,-1.816574671006418,-1.6651559445872268,1,0,1,3.0,6.0,8.0,,,,3,16,4,4,4,0,0,0,0,0,0,0,0,0,0
Trial23,1,25,2,0,8.960298263281063,0.3104094320967068,0.3632969591018686,0,0,1,3.0,6.0,8.0,,,,3,16,4,4,4,2,2,2,2,2,2,2,2,2,2
Trial23,1,26,2,0,11.315898147349234,0.544660802353994,0.5381681692876141,0,0,1,3.0,6.0,8.0,,,,3,16,4,4,4,2,2,2,2,2,2,2,2,2,2
Trial23,1,27,2,0,20.84196545449548,1.170998989420901,1.245348930153758,0,0,1,3.0,6.0,8.0,,,,3,16,4,4,4,2,2,2,2,2,2,2,2,2,2
Trial23,1,28,2,0,0.2056732660676924,0.1636337531679645,-0.2866147166200409,0,0,1,3.0,6.0,8.0,,,,3,2,2,4,4,2,2,2,2,2,2,2,2,2,2
Trial23,1,29,2,0,24.84959715131928,1.884716614552991,1.5428610032109196,0,0,2,,,,,,,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
Trial23,1,30,2,0,1.927512917964497,0.5794087357619372,-0.1587915724139924,1,0,2,,,,,,,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
Trial23,2,1,0,0,-47.72001624792895,-3.280946892303981,-3.844444457138208,0,0,1,4.0,9.0,11.0,,,,9,27,3,2,2,0,0,0,0,0,0,0,0,0,0
Trial23,2,2,0,0,-7.526273949461503,-1.3964122522512654,-0.860606495027161,0,0,1,4.0,9.0,11.0,,,,9,27,3,2,2,0,0,0,0,0,0,0,0,0,0
Trial23,2,3,0,0,-9.056145329558444,-0.4659052945417859,-0.9741786094917184,0,0,1,4.0,9.0,12.0,,,,9,27,3,2,2,0,0,0,0,0,0,0,0,0,0
Trial23,2,4,0,0,-3.59735391378546,-0.6651212598499396,-0.5689376908263671,0,0,1,4.0,9.0,12.0,,,,9,27,3,2,2,0,0,0,0,0,0,0,0,0,0
Trial23,2,5,0,0,12.023848221449803,0.1424541826038755,0.5907238206299166,0,0,1,4.0,10.0,13.0,15.0,17.0,19.0,15,9,5,5,5,0,0,0,0,0,0,0,0,0,0
Trial23,2,6,0,0,7.886660388702996,-0.0114749707610088,0.283593968921519,0,0,1,4.0,10.0,13.0,15.0,17.0,19.0,15,9,5,5,5,0,0,0,0,0,0,0,0,0,0
