TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_TreeDepth5,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial29,60,5,2,0,-5.090332166212781,-0.4374371496655516,-0.3775044780611246,0,0,1,3,5,,,5,5,0,0,0,1,1,1,1,1,1,1,1,1,1
Trial29,60,6,2,0,0.6955867897107919,0.2019026547408113,0.2432636876998782,0,0,1,3,5,,,5,5,0,0,0,1,1,1,1,1,1,1,1,1,1
Trial29,60,7,2,0,4.229198208139056,0.5884800173078854,0.6223829763453074,0,0,1,3,5,,,5,5,0,0,0,1,1,1,1,1,1,1,1,1,1
Trial29,60,8,2,0,-1.19753442523791,-0.0318983832389832,0.0401517199866426,0,0,1,3,5,,,5,5,0,0,0,1,1,1,1,1,1,1,1,1,1
Trial29,60,9,2,0,-4.095824418315955,-0.5298910919707164,-0.2708042710240086,0,0,1,3,5,,,5,5,0,0,0,1,1,1,1,1,1,1,1,1,1
Trial29,60,10,1,1,9.081006823795535,1.230570730119572,1.1429309407928565,1,0,1,3,6,,,6,17,1,4,4,2,2,2,2,2,2,2,2,2,2
Trial29,60,11,1,1,-0.8620808000285923,-0.1307610021811416,0.0761423609211952,1,0,1,3,6,,,6,17,1,3,3,2,2,2,2,2,2,2,2,2,2
Trial29,60,12,1,1,-2.88571487886112,-0.2470669890639908,-0.1409722625047396,1,0,1,3,6,,,6,17,1,3,3,2,2,2,2,2,2,2,2,2,2
Trial29,60,13,1,1,2.1792347145748394,0.7056336536128944,0.4024434840242045,1,0,2,17,19,21.0,21.0,17,17,1,3,3,2,2,2,2,2,2,2,2,2,2
Trial29,60,14,1,1,-13.00606121641648,-1.8561128669413585,-1.2267788354430746,1,0,2,17,19,21.0,21.0,17,17,1,3,3,2,2,2,2,2,2,2,2,2,2
Trial29,60,15,1,1,20.42558525769032,2.7348543694277336,2.3600847238631832,1,0,2,17,19,21.0,21.0,17,17,1,3,3,2,2,2,2,2,2,2,2,2,2
Trial29,60,16,1,1,-2.5014153173748617,-0.57776228489001,-0.0997409670607642,0,0,2,17,20,23.0,25.0,17,4,4,4,4,1,1,1,1,1,1,1,1,1,1
Trial29,60,17,1,1,-2.4953445697036893,0.4445331049878577,-0.0990896397737179,0,0,2,17,20,23.0,25.0,17,4,4,4,4,1,1,1,1,1,1,1,1,1,1
Trial29,60,18,1,1,-24.995222552600183,-2.4155777906337743,-2.513089575080369,1,0,2,17,20,23.0,26.0,17,17,4,4,4,1,1,1,1,1,1,1,1,1,1
Trial29,60,19,1,1,-9.56336432086757,-0.6178577012703366,-0.8574137175765283,1,0,2,17,20,23.0,26.0,17,17,4,4,4,1,1,1,1,1,1,1,1,1,1
Trial29,60,20,1,1,9.637324209706986,1.4112366567674997,1.202617937078839,1,0,2,17,20,23.0,26.0,17,17,4,4,4,1,1,1,1,1,1,1,1,1,1
Trial29,61,5,2,0,-0.1751011630757407,0.2057802402742964,0.1498480405885159,0,0,1,3,5,,,5,5,0,0,0,1,1,1,1,1,1,1,1,1,1
Trial29,61,6,2,0,-3.867982080117189,-0.1955977266843861,-0.246359187806667,0,0,1,3,5,,,5,5,0,0,0,1,1,1,1,1,1,1,1,1,1
Trial29,61,7,2,0,-5.6744883650807525,-0.3075758563567985,-0.4401782857745799,0,0,1,3,5,,,5,5,0,0,0,1,1,1,1,1,1,1,1,1,1
Trial29,61,8,2,0,-5.973887739745036,-0.2666704035995804,-0.4723006853546949,0,0,1,3,5,,,5,5,0,0,0,1,1,1,1,1,1,1,1,1,1
Trial29,61,9,2,0,-7.473144255731202,-0.4153485121125737,-0.6331551191142848,0,0,1,3,5,,,5,5,0,0,0,1,1,1,1,1,1,1,1,1,1
Trial29,61,10,2,0,-8.00827491516961,-0.6610663338848098,-0.6905690027916496,0,0,1,3,6,,,6,4,4,4,4,1,1,1,1,1,1,1,1,1,1
Trial29,61,11,1,1,1.7594212077961329,0.677361138297811,0.3574019162888139,0,0,1,3,6,,,6,4,4,4,4,1,1,1,1,1,1,1,1,1,1
Trial29,61,12,1,1,-8.711220718292935,-0.7844892382994333,-0.7659876839308857,1,0,1,3,6,,,6,17,1,3,3,2,2,2,2,2,2,2,2,2,2
Trial29,61,13,1,1,-5.476029943663114,-0.3542383082423794,-0.4188857873518145,1,0,2,17,19,21.0,21.0,17,17,1,3,3,2,2,2,2,2,2,2,2,2,2
Trial29,61,14,1,1,1.9298100556022773,0.4333004924182888,0.3756828450962357,0,0,2,17,19,21.0,21.0,17,4,4,4,4,1,1,1,1,1,1,1,1,1,1
Trial29,61,15,1,1,0.4550331546357853,-0.0257169539787231,0.2174548162050965,0,0,2,17,19,21.0,21.0,17,4,4,4,4,1,1,1,1,1,1,1,1,1,1
Trial29,61,16,1,1,6.13567342692276,0.7080820013299611,0.8269276880235674,0,0,2,17,20,23.0,25.0,17,4,4,4,4,1,1,1,1,1,1,1,1,1,1
Trial29,61,17,1,1,3.1927649810864698,0.184136365621909,0.5111846069605273,0,0,2,17,20,23.0,25.0,17,4,4,4,4,1,1,1,1,1,1,1,1,1,1
Trial29,61,18,1,1,6.194653150148987,0.5133062876098747,0.8332555911420086,0,0,2,17,20,23.0,26.0,17,4,4,4,4,1,1,1,1,1,1,1,1,1,1
Trial29,61,19,1,1,9.408766239430044,0.88004360561204,1.1780960740766588,0,0,2,17,20,23.0,26.0,17,4,4,4,4,1,1,1,1,1,1,1,1,1,1
Trial29,61,20,1,1,6.061574195840544,0.5829718965318107,0.8189776209532164,1,0,2,17,20,23.0,26.0,17,4,4,4,4,1,1,1,1,1,1,1,1,1,1
Trial29,62,5,2,0,-6.18320491338066,-0.6371947776792677,-0.4947582135243618,0,0,1,4,7,9.0,9.0,4,5,0,0,0,1,1,1,1,1,1,1,1,1,1
Trial29,62,6,2,0,4.175028163436708,0.8109585426586523,0.6165711010761868,0,0,1,4,7,9.0,9.0,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1
Trial29,62,7,2,0,-4.480413484581633,-0.2684027316288921,-0.3120666272817058,0,0,1,4,7,9.0,9.0,4,4,4,0,0,1,1,1,1,1,1,1,1,1,1
