TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial36,2,9,,,,,,,,,,,,,,,,,,,,,,,,,
Trial36,2,10,1.0,1.0,11.855122074107788,0.6896001985782857,0.6896001985782857,1.0,0.0,1.0,3.0,6.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial36,2,11,0.0,0.0,-8.073413536006669,-0.6350891013121993,-0.6350891013121993,0.0,0.0,1.0,4.0,7.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial36,2,12,,,,,,,,,,,,,,,,,,,,,,,,,
Trial36,3,9,1.0,1.0,16.47795471667123,0.9968890559532444,0.9968890559532444,1.0,0.0,1.0,3.0,5.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial36,3,10,1.0,1.0,13.925120085208482,0.8271970732180839,0.827197073218084,1.0,0.0,1.0,3.0,6.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial36,3,11,0.0,0.0,10.312468572731552,0.5870569597426875,0.5870569597426875,0.0,0.0,1.0,4.0,7.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial36,3,12,,,,,,,,,,,,,,,,,,,,,,,,,
Trial36,4,9,,,,,,,,,,,,,,,,,,,,,,,,,
Trial36,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
Trial36,4,11,0.0,0.0,2.293208352410014,0.0540008228178157,0.0540008228178157,0.0,0.0,1.0,4.0,7.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial36,4,12,0.0,0.0,-7.885291862875997,-0.6225842804689048,-0.6225842804689048,0.0,0.0,1.0,4.0,7.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial36,5,9,1.0,1.0,2.262919451954305,0.0519874595118455,0.0519874595118455,1.0,0.0,1.0,3.0,5.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial36,5,10,1.0,1.0,-47.482284656563095,-3.2546749512463284,-3.2546749512463284,1.0,0.0,1.0,3.0,6.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial36,5,11,0.0,0.0,5.441377733247051,0.2632658874782152,0.2632658874782153,0.0,0.0,1.0,4.0,7.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
