TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_TreeDepth5,Estimated_TreeDepth6,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial46,2,101,2.0,0.0,-1.931010156139704,-1.1771686576006557,-0.1892743761733931,0.0,0.0,1.0,3.0,5.0,7.0,9.0,11.0,9.0,25.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,2,102,2.0,0.0,-0.0869479690835074,0.1641449083085636,0.0075807562917108,0.0,0.0,1.0,3.0,5.0,7.0,9.0,12.0,9.0,25.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,2,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial46,2,104,2.0,0.0,-6.227596133203059,-1.4675830168266066,-0.6479384101736411,0.0,0.0,1.0,3.0,5.0,7.0,10.0,14.0,10.0,10.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,2,105,2.0,0.0,7.794399598553554,1.9671535775257407,0.8489209943383781,0.0,0.0,1.0,3.0,6.0,17.0,,,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,2,106,2.0,0.0,3.8667418459142686,0.0496029236109376,0.4296403471885774,0.0,0.0,1.0,3.0,6.0,17.0,,,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,2,107,2.0,0.0,3.79948801824606,-0.5727224243795842,0.4224609465982181,0.0,0.0,1.0,4.0,21.0,,,,4.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,2,108,2.0,0.0,16.49092674008203,1.5693570539722386,1.777282312328892,0.0,0.0,1.0,4.0,21.0,,,,4.0,4.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,3,101,2.0,0.0,14.088308030374304,1.8486752134043856,1.5208008185471218,0.0,0.0,1.0,3.0,5.0,7.0,9.0,11.0,9.0,25.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,3,102,2.0,0.0,8.636883109623906,0.438234702498608,0.938856791696803,0.0,0.0,1.0,3.0,5.0,7.0,9.0,12.0,9.0,25.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,3,103,2.0,0.0,-16.205858120002738,-1.2729574822667225,-1.7131259613151046,0.0,0.0,1.0,3.0,5.0,7.0,10.0,13.0,10.0,10.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
